Tom Brady,NE,QB,20.59198537,18.7562,22.59802586,1
Dak Prescott,DAL,QB,19.37902035,16.82600297,20.31729582,2
Alex Smith,KC,QB,18.1244197,15.0204,19.95164908,3
Matt Ryan,ATL,QB,18.05214403,16.3,18.94856502,4
Drew Brees,NO,QB,17.45015424,15.768,18.98950369,5
Kirk Cousins,WAS,QB,17.13328854,14.90331649,19.14473879,6
Ezekiel Elliott,DAL,RB,16.89625598,15.09,18.11752122,1
Russell Wilson,SEA,QB,16.8412155,13.11,19.01143054,7
LeVeon Bell,PIT,RB,16.6863221,15.663,17.54139557,2
Kareem Hunt,KC,RB,16.67779491,15.641,17.58422954,3
Tyrod Taylor,BUF,QB,16.49537111,15.93466568,16.89357262,8
Cam Newton,CAR,QB,16.23534736,14.34333432,17.45196844,9
Carson Wentz,PHI,QB,16.18081172,14.3194,16.85688267,10
LeSean McCoy,BUF,RB,15.85379349,13.92,17.87507608,4
Marcus Mariota,TEN,QB,15.78248747,15.15066865,16.26862331,11
Todd Gurley,LAR,RB,15.75014815,14.81933135,16.77620085,5
Jameis Winston,TB,QB,15.0562835,14.31,15.92546332,12
Leonard Fournette,JAC,RB,14.96484584,13.628,16.21510324,6
Carson Palmer,ARI,QB,14.54936256,13.02,15.55313599,13
Ben Roethlisberger,PIT,QB,13.93576322,11.94,15.43325441,14
Melvin Gordon,LAC,RB,13.90611882,11.66265973,16.24647237,7
Jordan Howard,CHI,RB,13.87021803,11.65600297,15.43011614,8
Mark Ingram,NO,RB,13.66215183,11.39,14.86300932,9
Antonio Brown,PIT,WR,13.52580652,11.1913373,15.39669698,1
Derek Carr,OAK,QB,13.49835583,11.3,14.82557951,15
Devonta Freeman,ATL,RB,13.46601303,12.31,14.43293931,10
Blake Bortles,JAC,QB,13.27629124,11.7,14.06175291,16
Trevor Siemian,DEN,QB,12.94309109,11.72,14.21910026,17
Julio Jones,ATL,WR,12.88731992,10.718,14.47258088,2
Jay Ajayi,MIA,RB,12.79696198,10.35,14.29558168,11
Titans,TEN,DST,12.76945022,6.96,13.02487791,1
Josh McCown,NYJ,QB,12.68051187,10.6528,14.7470238,18
Jaguars,JAC,DST,12.46894502,9.3,11.12951368,2
Jared Goff,LAR,QB,12.33413584,10.68,13.41001532,19
Philip Rivers,LAC,QB,12.18426596,10.42,13.76205267,20
Vikings,MIN,DST,11.89338782,11.05,12.37719477,3
Andy Dalton,CIN,QB,11.88475191,11.26,12.481346,21
Panthers,CAR,DST,11.78893016,11.15,12.15545058,4
Jacoby Brissett,IND,QB,11.77847364,11.095,12.38501834,22
C.J. Beathard,SF,QB,11.77263078,10.74933432,12.54504106,23
Saints,NO,DST,11.76491828,11.31,12.02588081,5
Case Keenum,MIN,QB,11.63120536,10.18,12.64377343,24
Carlos Hyde,SF,RB,11.62090036,10.19,13.11372316,12
Dolphins,MIA,DST,11.58138187,6.83,11.22985174,6
A.J. Green,CIN,WR,11.57929455,9.31,13.53872317,3
Steelers,PIT,DST,11.47426449,6.82,11.06702326,7
Jerick McKinnon,MIN,RB,11.41374112,7.56,14.09938471,13
Cowboys,DAL,DST,11.33112927,11.05,11.49239826,8
Brett Hundley,GB,QB,11.28022216,8.46,12.62236596,25
Rob Gronkowski,NE,TE,11.23852071,10.263,12.22319292,1
