Daniel Jones(13424702), Nick Chubb(13424760), Devonta Freeman(13424784), Keenan Allen(13424960), Terry McLaurin(13425040), Sterling Shepard(13424994), Darren Waller(13425250), Tyler Lockett(13424978), Chargers(13425424)
Daniel Jones(13424702), Todd Gurley(13424754), Leonard Fournette(13424766), Allen Robinson(13424996), Sammy Watkins(13424968), Brandin Cooks(13424980), Evan Engram(13425248), Terry McLaurin(13425040), Broncos(13425436)
Daniel Jones(13424702), Marlon Mack(13424764), Phillip Lindsay(13424780), Marvin Jones(13425006), DeAndre Hopkins(13424958), Larry Fitzgerald(13425000), Evan Engram(13425248), Chris Carson(13424770), Colts(13425433)
Tom Brady(13424688), Phillip Lindsay(13424780), Devonta Freeman(13424784), Kenny Golladay(13424986), Mike Evans(13424964), Brandin Cooks(13424980), Greg Olsen(13425258), Derrick Henry(13424762), Colts(13425433)
Jacoby Brissett(13424700), David Montgomery(13424778), Marlon Mack(13424764), Marvin Jones(13425006), Tyler Lockett(13424978), Mecole Hardman(13425014), Mark Andrews(13425252), DeAndre Hopkins(13424958), Patriots(13425426)
Philip Rivers(13424691), Carlos Hyde(13424810), Nick Chubb(13424760), Christian Kirk(13425018), Marquise Brown(13424990), Larry Fitzgerald(13425000), Travis Kelce(13425246), Leonard Fournette(13424766), Ravens(13425432)
Matt Ryan(13424694), Leonard Fournette(13424766), Derrick Henry(13424762), Julio Jones(13424956), Marvin Jones(13425006), Larry Fitzgerald(13425000), Darren Waller(13425250), Carlos Hyde(13424810), Seahawks(13425431)
Jacoby Brissett(13424700), Kerryon Johnson(13424774), Wayne Gallman(13424792), Christian Kirk(13425018), Keenan Allen(13424960), Mecole Hardman(13425014), Darren Waller(13425250), Austin Ekeler(13424750), Seahawks(13425431)
Jacoby Brissett(13424700), Wayne Gallman(13424792), Josh Jacobs(13424782), Kenny Golladay(13424986), Allen Robinson(13424996), Keenan Allen(13424960), Travis Kelce(13425246), Kerryon Johnson(13424774), Ravens(13425432)
Deshaun Watson(13424689), David Montgomery(13424778), Nick Chubb(13424760), Odell Beckham(13424962), Marvin Jones(13425006), Sterling Shepard(13424994), Darren Waller(13425250), Carlos Hyde(13424810), Patriots(13425426)
Deshaun Watson(13424689), Sony Michel(13424768), Kerryon Johnson(13424774), Odell Beckham(13424962), Terry McLaurin(13425040), Tyler Lockett(13424978), Eric Ebron(13425262), David Johnson(13424756), Chargers(13425424)
Daniel Jones(13424702), David Johnson(13424756), David Montgomery(13424778), Brandin Cooks(13424980), Will Fuller(13425038), Marquise Brown(13424990), Mark Andrews(13425252), Todd Gurley(13424754), Ravens(13425432)
Deshaun Watson(13424689), Marlon Mack(13424764), Derrick Henry(13424762), Christian Kirk(13425018), DeAndre Hopkins(13424958), Courtland Sutton(13425036), Greg Olsen(13425258), Marquise Brown(13424990), Patriots(13425426)
Lamar Jackson(13424687), Austin Ekeler(13424750), David Montgomery(13424778), Mike Evans(13424964), Terry McLaurin(13425040), Will Fuller(13425038), Evan Engram(13425248), Carlos Hyde(13424810), Seahawks(13425431)
Kyler Murray(13424693), Todd Gurley(13424754), Phillip Lindsay(13424780), Courtland Sutton(13425036), Will Fuller(13425038), Odell Beckham(13424962), Evan Engram(13425248), Kenny Golladay(13424986), Chargers(13425424)
Deshaun Watson(13424689), Phillip Lindsay(13424780), Mark Ingram(13424758), Courtland Sutton(13425036), Brandin Cooks(13424980), Julio Jones(13424956), Mark Andrews(13425252), Wayne Gallman(13424792), Colts(13425433)
Philip Rivers(13424691), Leonard Fournette(13424766), Wayne Gallman(13424792), Tyler Lockett(13424978), Marquise Brown(13424990), DeAndre Hopkins(13424958), Greg Olsen(13425258), Larry Fitzgerald(13425000), Ravens(13425432)
Jacoby Brissett(13424700), Nick Chubb(13424760), Mark Ingram(13424758), Keenan Allen(13424960), Sterling Shepard(13424994), DK Metcalf(13425026), Austin Hooper(13425256), Kenny Golladay(13424986), Colts(13425433)
Matt Ryan(13424694), Devonta Freeman(13424784), Derrick Henry(13424762), Christian Kirk(13425018), Mike Evans(13424964), Odell Beckham(13424962), Mark Andrews(13425252), Kerryon Johnson(13424774), Broncos(13425436)
Russell Wilson(13424692), Marlon Mack(13424764), Todd Gurley(13424754), Sterling Shepard(13424994), Julio Jones(13424956), Will Fuller(13425038), Greg Olsen(13425258), Courtland Sutton(13425036), Patriots(13425426)
